Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28111 Pezuela de las Torres;;;Renta neta media por hogar;2022;31.479
28112 Pinilla del Valle;;;Renta neta media por hogar;2022;32.242
28113 Pinto;;;Renta neta media por hogar;2022;40.277
28114 Pinuecar-Gandullas;;;Renta neta media por hogar;2022;29.189
28115 Pozuelo de Alarcon;;;Renta neta media por hogar;2022;92.596
28116 Pozuelo del Rey;;;Renta neta media por hogar;2022;33.115
28117 Pradena del Rincon;;;Renta neta media por hogar;2022;35.378
28118 Puebla de la Sierra;;;Renta neta media por hogar;2022;27.913
28119 Quijorna;;;Renta neta media por hogar;2022;39.176
28120 Rascafria;;;Renta neta media por hogar;2022;35.048
28121 Reduena;;;Renta neta media por hogar;2022;35.422
28122 Ribatejada;;;Renta neta media por hogar;2022;33.649
28123 Rivas-Vaciamadrid;;;Renta neta media por hogar;2022;50.907
28124 Robledillo de la Jara;;;Renta neta media por hogar;2022;28.016
28125 Robledo de Chavela;;;Renta neta media por hogar;2022;34.460
28126 Robregordo;;;Renta neta media por hogar;2022;29.297
28127 Las Rozas de Madrid;;;Renta neta media por hogar;2022;69.701
28128 Rozas de Puerto Real;;;Renta neta media por hogar;2022;29.221
28129 San Agustin del Guadalix;;;Renta neta media por hogar;2022;57.401
28130 San Fernando de Henares;;;Renta neta media por hogar;2022;38.015
28131 San Lorenzo de El Escorial;;;Renta neta media por hogar;2022;41.729
28132 San Martin de la Vega;;;Renta neta media por hogar;2022;35.818
28133 San Martin de Valdeiglesias;;;Renta neta media por hogar;2022;30.911
28134 San Sebastian de los Reyes;;;Renta neta media por hogar;2022;48.982
28135 Santa Maria de la Alameda;;;Renta neta media por hogar;2022;28.408
28136 Santorcaz;;;Renta neta media por hogar;2022;34.021
28137 Los Santos de la Humosa;;;Renta neta media por hogar;2022;36.759
28138 La Serna del Monte;;;Renta neta media por hogar;2022;30.912
28140 Serranillos del Valle;;;Renta neta media por hogar;2022;45.300
28141 Sevilla la Nueva;;;Renta neta media por hogar;2022;41.407
28143 Somosierra;;;Renta neta media por hogar;2022;29.297
28144 Soto del Real;;;Renta neta media por hogar;2022;52.531
28145 Talamanca de Jarama;;;Renta neta media por hogar;2022;37.255
28146 Tielmes;;;Renta neta media por hogar;2022;30.000
28147 Titulcia;;;Renta neta media por hogar;2022;33.715
28148 Torrejon de Ardoz;;;Renta neta media por hogar;2022;38.759
28149 Torrejon de la Calzada;;;Renta neta media por hogar;2022;44.231
28150 Torrejon de Velasco;;;Renta neta media por hogar;2022;40.526
28151 Torrelaguna;;;Renta neta media por hogar;2022;35.814
28152 Torrelodones;;;Renta neta media por hogar;2022;74.419
28153 Torremocha de Jarama;;;Renta neta media por hogar;2022;38.555
28154 Torres de la Alameda;;;Renta neta media por hogar;2022;37.907
28155 Valdaracete;;;Renta neta media por hogar;2022;30.511
28156 Valdeavero;;;Renta neta media por hogar;2022;35.388
28157 Valdelaguna;;;Renta neta media por hogar;2022;30.198
28158 Valdemanco;;;Renta neta media por hogar;2022;32.638
28159 Valdemaqueda;;;Renta neta media por hogar;2022;26.757
28160 Valdemorillo;;;Renta neta media por hogar;2022;45.034
28161 Valdemoro;;;Renta neta media por hogar;2022;42.398
28162 Valdeolmos-Alalpardo;;;Renta neta media por hogar;2022;49.807
28163 Valdepielagos;;;Renta neta media por hogar;2022;34.783
28164 Valdetorres de Jarama;;;Renta neta media por hogar;2022;40.008
28165 Valdilecha;;;Renta neta media por hogar;2022;30.548
28166 Valverde de Alcala;;;Renta neta media por hogar;2022;32.721
28167 Velilla de San Antonio;;;Renta neta media por hogar;2022;41.761
28168 El Vellon;;;Renta neta media por hogar;2022;31.328
28169 Venturada;;;Renta neta media por hogar;2022;60.024
28170 Villaconejos;;;Renta neta media por hogar;2022;29.228
28171 Villa del Prado;;;Renta neta media por hogar;2022;32.130
28172 Villalbilla;;;Renta neta media por hogar;2022;50.796
28173 Villamanrique de Tajo;;;Renta neta media por hogar;2022;27.699
28174 Villamanta;;;Renta neta media por hogar;2022;34.845
28175 Villamantilla;;;Renta neta media por hogar;2022;36.638
28176 Villanueva de la Canada;;;Renta neta media por hogar;2022;67.178
28177 Villanueva del Pardillo;;;Renta neta media por hogar;2022;55.791
28178 Villanueva de Perales;;;Renta neta media por hogar;2022;38.200
28179 Villar del Olmo;;;Renta neta media por hogar;2022;39.156
28180 Villarejo de Salvanes;;;Renta neta media por hogar;2022;32.250
28181 Villaviciosa de Odon;;;Renta neta media por hogar;2022;62.630
28182 Villavieja del Lozoya;;;Renta neta media por hogar;2022;31.716
28183 Zarzalejo;;;Renta neta media por hogar;2022;30.057
28901 Lozoyuela-Navas-Sieteiglesias;;;Renta neta media por hogar;2022;31.563
28902 Puentes Viejas;;;Renta neta media por hogar;2022;34.732
28903 Tres Cantos;;;Renta neta media por hogar;2022;63.353
